,model,metric,split,value
0,bert,accuracy,dev,0.9313725490196079
1,bert,accuracy,test,0.8941176470588236
2,bert,accuracy,dev,0.9264705882352942
3,bert,accuracy,test,0.8823529411764706
4,bert,accuracy,dev,0.9166666666666666
5,bert,accuracy,test,0.9176470588235294
6,bert,accuracy,dev,0.9019607843137255
7,bert,accuracy,test,0.8862745098039215
8,bert,accuracy,dev,0.8921568627450981
9,bert,accuracy,test,0.905511811023622
10,glove,accuracy,dev,0.8235294117647058
11,glove,accuracy,test,0.807843137254902
12,glove,accuracy,dev,0.8382352941176471
13,glove,accuracy,test,0.807843137254902
14,glove,accuracy,dev,0.8284313725490197
15,glove,accuracy,test,0.807843137254902
16,glove,accuracy,dev,0.8333333333333334
17,glove,accuracy,test,0.807843137254902
18,glove,accuracy,dev,0.8235294117647058
19,glove,accuracy,test,0.8070866141732284
20,gpt2,accuracy,dev,0.8921568627450981
21,gpt2,accuracy,test,0.8392156862745098
22,gpt2,accuracy,dev,0.9264705882352942
23,gpt2,accuracy,test,0.8705882352941177
24,gpt2,accuracy,dev,0.9215686274509803
25,gpt2,accuracy,test,0.9176470588235294
26,gpt2,accuracy,dev,0.9166666666666666
27,gpt2,accuracy,test,0.9019607843137255
28,gpt2,accuracy,dev,0.8676470588235294
29,gpt2,accuracy,test,0.8740157480314961
30,conceptnet,accuracy,dev,0.8235294117647058
31,conceptnet,accuracy,test,0.807843137254902
32,conceptnet,accuracy,dev,0.8382352941176471
33,conceptnet,accuracy,test,0.807843137254902
34,conceptnet,accuracy,dev,0.8284313725490197
35,conceptnet,accuracy,test,0.807843137254902
36,conceptnet,accuracy,dev,0.8333333333333334
37,conceptnet,accuracy,test,0.807843137254902
38,conceptnet,accuracy,dev,0.8235294117647058
39,conceptnet,accuracy,test,0.8070866141732284
