,model,metric,split,value
0,bert,accuracy,dev,0.9313725490196079
1,bert,accuracy,test,0.8941176470588236
2,bert,accuracy,dev,0.9264705882352942
3,bert,accuracy,test,0.8823529411764706
4,bert,accuracy,dev,0.9166666666666666
5,bert,accuracy,test,0.9176470588235294
6,bert,accuracy,dev,0.9019607843137255
7,bert,accuracy,test,0.8862745098039215
8,bert,accuracy,dev,0.8921568627450981
9,bert,accuracy,test,0.905511811023622
10,glove,accuracy,dev,0.8235294117647058
11,glove,accuracy,test,0.807843137254902
12,glove,accuracy,dev,0.8382352941176471
13,glove,accuracy,test,0.807843137254902
14,glove,accuracy,dev,0.8284313725490197
15,glove,accuracy,test,0.807843137254902
16,glove,accuracy,dev,0.8333333333333334
17,glove,accuracy,test,0.807843137254902
18,glove,accuracy,dev,0.8235294117647058
19,glove,accuracy,test,0.8070866141732284
20,gpt2,accuracy,dev,0.9313725490196079
21,gpt2,accuracy,test,0.9098039215686274
22,gpt2,accuracy,dev,0.946078431372549
23,gpt2,accuracy,test,0.8941176470588236
24,gpt2,accuracy,dev,0.9264705882352942
25,gpt2,accuracy,test,0.9137254901960784
26,gpt2,accuracy,dev,0.9019607843137255
27,gpt2,accuracy,test,0.9215686274509803
28,gpt2,accuracy,dev,0.9019607843137255
29,gpt2,accuracy,test,0.905511811023622
