,metric,split,value,relation,y_type,model
0,accuracy,dev,0.32298136645962733,Cause-Effect,P(E|C),bert
1,accuracy,test,0.24875621890547264,Cause-Effect,P(E|C),bert
2,accuracy,dev,0.32919254658385094,Cause-Effect,P(E|C),bert
3,accuracy,test,0.25870646766169153,Cause-Effect,P(E|C),bert
4,accuracy,dev,0.2981366459627329,Cause-Effect,P(E|C),bert
5,accuracy,test,0.30845771144278605,Cause-Effect,P(E|C),bert
6,accuracy,dev,0.35403726708074534,Cause-Effect,P(E|C),bert
7,accuracy,test,0.25,Cause-Effect,P(E|C),bert
8,accuracy,dev,0.30434782608695654,Cause-Effect,P(E|C),bert
9,accuracy,test,0.295,Cause-Effect,P(E|C),bert
10,accuracy,dev,0.4409937888198758,Cause-Effect,P(E),bert
11,accuracy,test,0.3333333333333333,Cause-Effect,P(E),bert
12,accuracy,dev,0.40372670807453415,Cause-Effect,P(E),bert
13,accuracy,test,0.32338308457711445,Cause-Effect,P(E),bert
14,accuracy,dev,0.36645962732919257,Cause-Effect,P(E),bert
15,accuracy,test,0.31343283582089554,Cause-Effect,P(E),bert
16,accuracy,dev,0.32298136645962733,Cause-Effect,P(E),bert
17,accuracy,test,0.385,Cause-Effect,P(E),bert
18,accuracy,dev,0.37888198757763975,Cause-Effect,P(E),bert
19,accuracy,test,0.375,Cause-Effect,P(E),bert
20,accuracy,dev,0.32919254658385094,Cause-Effect,probabilistic_causality_diff,bert
21,accuracy,test,0.2736318407960199,Cause-Effect,probabilistic_causality_diff,bert
22,accuracy,dev,0.32298136645962733,Cause-Effect,probabilistic_causality_diff,bert
23,accuracy,test,0.2885572139303483,Cause-Effect,probabilistic_causality_diff,bert
24,accuracy,dev,0.33540372670807456,Cause-Effect,probabilistic_causality_diff,bert
25,accuracy,test,0.27860696517412936,Cause-Effect,probabilistic_causality_diff,bert
26,accuracy,dev,0.2732919254658385,Cause-Effect,probabilistic_causality_diff,bert
27,accuracy,test,0.24,Cause-Effect,probabilistic_causality_diff,bert
28,accuracy,dev,0.2981366459627329,Cause-Effect,probabilistic_causality_diff,bert
29,accuracy,test,0.285,Cause-Effect,probabilistic_causality_diff,bert
30,accuracy,dev,0.32919254658385094,Cause-Effect,delta_P,bert
31,accuracy,test,0.2736318407960199,Cause-Effect,delta_P,bert
32,accuracy,dev,0.32298136645962733,Cause-Effect,delta_P,bert
33,accuracy,test,0.2885572139303483,Cause-Effect,delta_P,bert
34,accuracy,dev,0.33540372670807456,Cause-Effect,delta_P,bert
35,accuracy,test,0.27860696517412936,Cause-Effect,delta_P,bert
36,accuracy,dev,0.2732919254658385,Cause-Effect,delta_P,bert
37,accuracy,test,0.24,Cause-Effect,delta_P,bert
38,accuracy,dev,0.2981366459627329,Cause-Effect,delta_P,bert
39,accuracy,test,0.285,Cause-Effect,delta_P,bert
40,accuracy,dev,0.40372670807453415,Cause-Effect,P(E|no C),bert
41,accuracy,test,0.35323383084577115,Cause-Effect,P(E|no C),bert
42,accuracy,dev,0.36645962732919257,Cause-Effect,P(E|no C),bert
43,accuracy,test,0.2885572139303483,Cause-Effect,P(E|no C),bert
44,accuracy,dev,0.40372670807453415,Cause-Effect,P(E|no C),bert
45,accuracy,test,0.2736318407960199,Cause-Effect,P(E|no C),bert
46,accuracy,dev,0.38509316770186336,Cause-Effect,P(E|no C),bert
47,accuracy,test,0.385,Cause-Effect,P(E|no C),bert
48,accuracy,dev,0.39751552795031053,Cause-Effect,P(E|no C),bert
49,accuracy,test,0.29,Cause-Effect,P(E|no C),bert
50,accuracy,dev,0.32298136645962733,Cause-Effect,q,bert
51,accuracy,test,0.22885572139303484,Cause-Effect,q,bert
52,accuracy,dev,0.30434782608695654,Cause-Effect,q,bert
53,accuracy,test,0.2835820895522388,Cause-Effect,q,bert
54,accuracy,dev,0.3416149068322981,Cause-Effect,q,bert
55,accuracy,test,0.2935323383084577,Cause-Effect,q,bert
56,accuracy,dev,0.2919254658385093,Cause-Effect,q,bert
57,accuracy,test,0.22,Cause-Effect,q,bert
58,accuracy,dev,0.30434782608695654,Cause-Effect,q,bert
59,accuracy,test,0.315,Cause-Effect,q,bert
60,accuracy,dev,0.3105590062111801,Cause-Effect,p,bert
61,accuracy,test,0.24875621890547264,Cause-Effect,p,bert
62,accuracy,dev,0.34782608695652173,Cause-Effect,p,bert
63,accuracy,test,0.24875621890547264,Cause-Effect,p,bert
64,accuracy,dev,0.36024844720496896,Cause-Effect,p,bert
65,accuracy,test,0.31840796019900497,Cause-Effect,p,bert
66,accuracy,dev,0.30434782608695654,Cause-Effect,p,bert
67,accuracy,test,0.315,Cause-Effect,p,bert
68,accuracy,dev,0.32919254658385094,Cause-Effect,p,bert
69,accuracy,test,0.315,Cause-Effect,p,bert
70,accuracy,dev,0.30434782608695654,Cause-Effect,causal_power,bert
71,accuracy,test,0.25870646766169153,Cause-Effect,causal_power,bert
72,accuracy,dev,0.36024844720496896,Cause-Effect,causal_power,bert
73,accuracy,test,0.2885572139303483,Cause-Effect,causal_power,bert
74,accuracy,dev,0.391304347826087,Cause-Effect,causal_power,bert
75,accuracy,test,0.2736318407960199,Cause-Effect,causal_power,bert
76,accuracy,dev,0.32298136645962733,Cause-Effect,causal_power,bert
77,accuracy,test,0.365,Cause-Effect,causal_power,bert
78,accuracy,dev,0.3167701863354037,Cause-Effect,causal_power,bert
79,accuracy,test,0.29,Cause-Effect,causal_power,bert
80,accuracy,dev,0.35403726708074534,Cause-Effect,PMI,bert
81,accuracy,test,0.3482587064676617,Cause-Effect,PMI,bert
82,accuracy,dev,0.32919254658385094,Cause-Effect,PMI,bert
83,accuracy,test,0.30845771144278605,Cause-Effect,PMI,bert
84,accuracy,dev,0.2981366459627329,Cause-Effect,PMI,bert
85,accuracy,test,0.25870646766169153,Cause-Effect,PMI,bert
86,accuracy,dev,0.33540372670807456,Cause-Effect,PMI,bert
87,accuracy,test,0.305,Cause-Effect,PMI,bert
88,accuracy,dev,0.37267080745341613,Cause-Effect,PMI,bert
