,metric,relation,split,value,y_type,model
0,accuracy,Cause-Effect,dev,0.3333333333333333,P(E|C),bert
1,accuracy,Cause-Effect,test,0.375,P(E|C),bert
2,accuracy,Cause-Effect,dev,0.3055555555555556,P(E|C),bert
3,accuracy,Cause-Effect,test,0.2765957446808511,P(E|C),bert
4,accuracy,Cause-Effect,dev,0.21621621621621623,P(E|C),bert
5,accuracy,Cause-Effect,test,0.1956521739130435,P(E|C),bert
6,accuracy,Cause-Effect,dev,0.21621621621621623,P(E|C),bert
7,accuracy,Cause-Effect,test,0.2558139534883721,P(E|C),bert
8,accuracy,Cause-Effect,dev,0.2702702702702703,P(E|C),bert
9,accuracy,Cause-Effect,test,0.27906976744186046,P(E|C),bert
10,accuracy,Cause-Effect,dev,0.3888888888888889,P(E),bert
11,accuracy,Cause-Effect,test,0.3333333333333333,P(E),bert
12,accuracy,Cause-Effect,dev,0.35135135135135137,P(E),bert
13,accuracy,Cause-Effect,test,0.2391304347826087,P(E),bert
14,accuracy,Cause-Effect,dev,0.32432432432432434,P(E),bert
15,accuracy,Cause-Effect,test,0.28888888888888886,P(E),bert
16,accuracy,Cause-Effect,dev,0.35135135135135137,P(E),bert
17,accuracy,Cause-Effect,test,0.18181818181818182,P(E),bert
18,accuracy,Cause-Effect,dev,0.21621621621621623,P(E),bert
19,accuracy,Cause-Effect,test,0.29545454545454547,P(E),bert
20,accuracy,Cause-Effect,dev,0.2777777777777778,probabilistic_causality_diff,bert
21,accuracy,Cause-Effect,test,0.25,probabilistic_causality_diff,bert
22,accuracy,Cause-Effect,dev,0.2777777777777778,probabilistic_causality_diff,bert
23,accuracy,Cause-Effect,test,0.2765957446808511,probabilistic_causality_diff,bert
24,accuracy,Cause-Effect,dev,0.43243243243243246,probabilistic_causality_diff,bert
25,accuracy,Cause-Effect,test,0.30434782608695654,probabilistic_causality_diff,bert
26,accuracy,Cause-Effect,dev,0.32432432432432434,probabilistic_causality_diff,bert
27,accuracy,Cause-Effect,test,0.3488372093023256,probabilistic_causality_diff,bert
28,accuracy,Cause-Effect,dev,0.32432432432432434,probabilistic_causality_diff,bert
29,accuracy,Cause-Effect,test,0.2558139534883721,probabilistic_causality_diff,bert
30,accuracy,Cause-Effect,dev,0.2777777777777778,delta_P,bert
31,accuracy,Cause-Effect,test,0.25,delta_P,bert
32,accuracy,Cause-Effect,dev,0.2777777777777778,delta_P,bert
33,accuracy,Cause-Effect,test,0.2765957446808511,delta_P,bert
34,accuracy,Cause-Effect,dev,0.43243243243243246,delta_P,bert
35,accuracy,Cause-Effect,test,0.30434782608695654,delta_P,bert
36,accuracy,Cause-Effect,dev,0.32432432432432434,delta_P,bert
37,accuracy,Cause-Effect,test,0.3488372093023256,delta_P,bert
38,accuracy,Cause-Effect,dev,0.32432432432432434,delta_P,bert
39,accuracy,Cause-Effect,test,0.2558139534883721,delta_P,bert
40,accuracy,Cause-Effect,dev,0.19444444444444445,P(E|no C),bert
41,accuracy,Cause-Effect,test,0.22916666666666666,P(E|no C),bert
42,accuracy,Cause-Effect,dev,0.35135135135135137,P(E|no C),bert
43,accuracy,Cause-Effect,test,0.1956521739130435,P(E|no C),bert
44,accuracy,Cause-Effect,dev,0.35135135135135137,P(E|no C),bert
45,accuracy,Cause-Effect,test,0.2391304347826087,P(E|no C),bert
46,accuracy,Cause-Effect,dev,0.21621621621621623,P(E|no C),bert
47,accuracy,Cause-Effect,test,0.20454545454545456,P(E|no C),bert
48,accuracy,Cause-Effect,dev,0.32432432432432434,P(E|no C),bert
49,accuracy,Cause-Effect,test,0.4418604651162791,P(E|no C),bert
50,accuracy,Cause-Effect,dev,0.2777777777777778,q,bert
51,accuracy,Cause-Effect,test,0.25,q,bert
52,accuracy,Cause-Effect,dev,0.2777777777777778,q,bert
53,accuracy,Cause-Effect,test,0.2765957446808511,q,bert
54,accuracy,Cause-Effect,dev,0.43243243243243246,q,bert
55,accuracy,Cause-Effect,test,0.30434782608695654,q,bert
56,accuracy,Cause-Effect,dev,0.32432432432432434,q,bert
57,accuracy,Cause-Effect,test,0.3488372093023256,q,bert
58,accuracy,Cause-Effect,dev,0.32432432432432434,q,bert
59,accuracy,Cause-Effect,test,0.2558139534883721,q,bert
60,accuracy,Cause-Effect,dev,0.3333333333333333,p,bert
61,accuracy,Cause-Effect,test,0.2765957446808511,p,bert
62,accuracy,Cause-Effect,dev,0.32432432432432434,p,bert
63,accuracy,Cause-Effect,test,0.30434782608695654,p,bert
64,accuracy,Cause-Effect,dev,0.40540540540540543,p,bert
65,accuracy,Cause-Effect,test,0.2391304347826087,p,bert
66,accuracy,Cause-Effect,dev,0.2702702702702703,p,bert
67,accuracy,Cause-Effect,test,0.2826086956521739,p,bert
68,accuracy,Cause-Effect,dev,0.2972972972972973,p,bert
69,accuracy,Cause-Effect,test,0.2619047619047619,p,bert
70,accuracy,Cause-Effect,dev,0.4444444444444444,causal_power,bert
71,accuracy,Cause-Effect,test,0.14583333333333334,causal_power,bert
72,accuracy,Cause-Effect,dev,0.3888888888888889,causal_power,bert
73,accuracy,Cause-Effect,test,0.2978723404255319,causal_power,bert
74,accuracy,Cause-Effect,dev,0.21621621621621623,causal_power,bert
75,accuracy,Cause-Effect,test,0.2826086956521739,causal_power,bert
76,accuracy,Cause-Effect,dev,0.1891891891891892,causal_power,bert
77,accuracy,Cause-Effect,test,0.23255813953488372,causal_power,bert
78,accuracy,Cause-Effect,dev,0.32432432432432434,causal_power,bert
79,accuracy,Cause-Effect,test,0.18604651162790697,causal_power,bert
80,accuracy,Cause-Effect,dev,0.2222222222222222,PMI,bert
81,accuracy,Cause-Effect,test,0.3125,PMI,bert
82,accuracy,Cause-Effect,dev,0.3611111111111111,PMI,bert
83,accuracy,Cause-Effect,test,0.2916666666666667,PMI,bert
84,accuracy,Cause-Effect,dev,0.35135135135135137,PMI,bert
85,accuracy,Cause-Effect,test,0.3181818181818182,PMI,bert
86,accuracy,Cause-Effect,dev,0.35135135135135137,PMI,bert
87,accuracy,Cause-Effect,test,0.22727272727272727,PMI,bert
88,accuracy,Cause-Effect,dev,0.2972972972972973,PMI,bert
89,accuracy,Cause-Effect,test,0.3488372093023256,PMI,bert
90,accuracy,Cause-Effect,dev,0.2222222222222222,CPMI_-2,bert
91,accuracy,Cause-Effect,test,0.3125,CPMI_-2,bert
92,accuracy,Cause-Effect,dev,0.3611111111111111,CPMI_-2,bert
93,accuracy,Cause-Effect,test,0.2916666666666667,CPMI_-2,bert
94,accuracy,Cause-Effect,dev,0.35135135135135137,CPMI_-2,bert
95,accuracy,Cause-Effect,test,0.3181818181818182,CPMI_-2,bert
96,accuracy,Cause-Effect,dev,0.35135135135135137,CPMI_-2,bert
97,accuracy,Cause-Effect,test,0.22727272727272727,CPMI_-2,bert
98,accuracy,Cause-Effect,dev,0.2972972972972973,CPMI_-2,bert
99,accuracy,Cause-Effect,test,0.3488372093023256,CPMI_-2,bert
100,accuracy,Cause-Effect,dev,0.2222222222222222,NPMI,bert
101,accuracy,Cause-Effect,test,0.3617021276595745,NPMI,bert
102,accuracy,Cause-Effect,dev,0.2972972972972973,NPMI,bert
103,accuracy,Cause-Effect,test,0.3111111111111111,NPMI,bert
104,accuracy,Cause-Effect,dev,0.2702702702702703,NPMI,bert
105,accuracy,Cause-Effect,test,0.28888888888888886,NPMI,bert
106,accuracy,Cause-Effect,dev,0.3783783783783784,NPMI,bert
107,accuracy,Cause-Effect,test,0.2,NPMI,bert
108,accuracy,Cause-Effect,dev,0.32432432432432434,NPMI,bert
109,accuracy,Cause-Effect,test,0.24444444444444444,NPMI,bert
110,accuracy,Cause-Effect,dev,0.3333333333333333,NNEGPMI,bert
111,accuracy,Cause-Effect,test,0.2765957446808511,NNEGPMI,bert
112,accuracy,Cause-Effect,dev,0.32432432432432434,NNEGPMI,bert
113,accuracy,Cause-Effect,test,0.3333333333333333,NNEGPMI,bert
114,accuracy,Cause-Effect,dev,0.43243243243243246,NNEGPMI,bert
115,accuracy,Cause-Effect,test,0.2222222222222222,NNEGPMI,bert
116,accuracy,Cause-Effect,dev,0.3783783783783784,NNEGPMI,bert
117,accuracy,Cause-Effect,test,0.26666666666666666,NNEGPMI,bert
118,accuracy,Cause-Effect,dev,0.2972972972972973,NNEGPMI,bert
119,accuracy,Cause-Effect,test,0.26666666666666666,NNEGPMI,bert
120,accuracy,Cause-Effect,dev,0.19444444444444445,P(C|E),bert
121,accuracy,Cause-Effect,test,0.1276595744680851,P(C|E),bert
122,accuracy,Cause-Effect,dev,0.3333333333333333,P(C|E),bert
123,accuracy,Cause-Effect,test,0.23404255319148937,P(C|E),bert
124,accuracy,Cause-Effect,dev,0.21621621621621623,P(C|E),bert
125,accuracy,Cause-Effect,test,0.2826086956521739,P(C|E),bert
126,accuracy,Cause-Effect,dev,0.40540540540540543,P(C|E),bert
127,accuracy,Cause-Effect,test,0.29545454545454547,P(C|E),bert
128,accuracy,Cause-Effect,dev,0.21621621621621623,P(C|E),bert
129,accuracy,Cause-Effect,test,0.2558139534883721,P(C|E),bert
130,accuracy,Cause-Effect,dev,0.2222222222222222,causal_stength_nec,bert
131,accuracy,Cause-Effect,test,0.3541666666666667,causal_stength_nec,bert
132,accuracy,Cause-Effect,dev,0.3611111111111111,causal_stength_nec,bert
133,accuracy,Cause-Effect,test,0.25,causal_stength_nec,bert
134,accuracy,Cause-Effect,dev,0.4864864864864865,causal_stength_nec,bert
135,accuracy,Cause-Effect,test,0.29545454545454547,causal_stength_nec,bert
136,accuracy,Cause-Effect,dev,0.2972972972972973,causal_stength_nec,bert
137,accuracy,Cause-Effect,test,0.4090909090909091,causal_stength_nec,bert
138,accuracy,Cause-Effect,dev,0.24324324324324326,causal_stength_nec,bert
139,accuracy,Cause-Effect,test,0.27906976744186046,causal_stength_nec,bert
140,accuracy,Cause-Effect,dev,0.2777777777777778,causal_stength_suf,bert
141,accuracy,Cause-Effect,test,0.3125,causal_stength_suf,bert
142,accuracy,Cause-Effect,dev,0.2777777777777778,causal_stength_suf,bert
143,accuracy,Cause-Effect,test,0.20833333333333334,causal_stength_suf,bert
144,accuracy,Cause-Effect,dev,0.35135135135135137,causal_stength_suf,bert
145,accuracy,Cause-Effect,test,0.22727272727272727,causal_stength_suf,bert
146,accuracy,Cause-Effect,dev,0.2972972972972973,causal_stength_suf,bert
147,accuracy,Cause-Effect,test,0.22727272727272727,causal_stength_suf,bert
148,accuracy,Cause-Effect,dev,0.32432432432432434,causal_stength_suf,bert
